feature,correlation
maximum_capability,0.9800458397742472
category_TOTAL,0.9496306573627924
total_net_generation,0.9196340589313858
dispatched_contingency_reserve,0.8263838888804896
category_OTHER,-0.2191915728748213
category_ENERGY STORAGE,-0.2185930975905214
category_SOLAR,-0.19196094743917796
category_HYDRO,-0.16862041135148367
category_SIMPLE CYCLE,-0.14079131063154052
category_WIND,0.12373476502899462
efficiency_ratio,0.09911112692131589
category_COMBINED CYCLE,-0.08722777268670363
category_COGENERATION,-0.0701712270841578
category_GAS FIRED STEAM,0.023190917266619326
